gender,subCategory,articleType,baseColour,season,usage
men,topwear,shirts,navy blue,fall,casual
men,bottomwear,jeans,blue,summer,casual
men,bottomwear,track pants,black,fall,casual
men,topwear,tshirts,grey,summer,casual
men,topwear,shirts,green,summer,ethnic
women,topwear,shirts,purple,summer,casual
men,topwear,shirts,purple,fall,formal
girls,topwear,tops,white,summer,casual
women,innerwear,bra,beige,summer,casual
men,topwear,sweatshirts,grey,fall,sports
men,topwear,tshirts,navy blue,fall,sports
men,topwear,shirts,navy blue,summer,formal
boys,topwear,tshirts,green,summer,casual
men,topwear,shirts,brown,summer,casual
women,topwear,kurtas,green,fall,ethnic
women,topwear,tshirts,pink,summer,casual
women,topwear,kurtas,beige,summer,ethnic
men,topwear,waistcoat,grey,fall,casual
men,bottomwear,shorts,black,summer,sports
men,innerwear,briefs,maroon,winter,casual
men,topwear,shirts,red,fall,formal
women,topwear,kurtas,brown,summer,ethnic
men,innerwear,briefs,blue,summer,casual
men,topwear,tshirts,black,summer,casual
women,topwear,tshirts,purple,summer,casual
men,topwear,shirts,white,summer,casual
men,topwear,tshirts,red,fall,casual
women,saree,sarees,grey,fall,ethnic
men,topwear,tshirts,black,fall,casual
men,bottomwear,shorts,blue,summer,casual
men,topwear,shirts,pink,fall,casual
women,topwear,tshirts,black,fall,sports
men,topwear,sweatshirts,blue,fall,casual
women,topwear,tops,green,summer,casual
men,topwear,tshirts,pink,summer,casual
men,innerwear,innerwear vests,grey,summer,casual
women,topwear,tops,off white,summer,casual
women,dress,dresses,blue,summer,casual
men,innerwear,briefs,red,summer,casual
women,loungewear and nightwear,night suits,white,summer,casual
women,bottomwear,skirts,blue,summer,sports
girls,topwear,tops,black,summer,casual
men,topwear,tshirts,white,fall,casual
men,topwear,shirts,yellow,fall,casual
men,topwear,shirts,white,fall,casual
men,innerwear,briefs,white,summer,casual
women,topwear,blazers,charcoal,summer,formal
women,bottomwear,jeans,black,summer,casual
women,topwear,kurtas,green,summer,ethnic
boys,topwear,tshirts,blue,fall,casual
men,topwear,shirts,green,fall,casual
men,topwear,tshirts,black,fall,sports
women,apparel set,kurta sets,black,summer,ethnic
men,topwear,shirts,red,fall,casual
women,topwear,shrug,pink,summer,casual
men,innerwear,briefs,grey,summer,casual
men,topwear,shirts,black,summer,casual
women,innerwear,bra,black,summer,casual
men,topwear,tshirts,yellow,fall,casual
men,innerwear,innerwear vests,white,summer,casual
men,topwear,tshirts,purple,summer,casual
men,topwear,tshirts,navy blue,fall,casual
women,saree,sarees,green,fall,ethnic
men,bottomwear,trousers,black,fall,formal
men,topwear,tshirts,navy blue,summer,casual
women,topwear,sweatshirts,black,fall,casual
men,topwear,shirts,blue,fall,casual
women,topwear,tops,blue,summer,casual
men,topwear,shirts,black,fall,casual
women,bottomwear,trousers,blue,summer,casual
girls,topwear,tops,blue,summer,casual
women,topwear,kurtas,red,summer,ethnic
women,topwear,tops,beige,fall,casual
women,bottomwear,shorts,pink,fall,sports
women,innerwear,camisoles,maroon,winter,casual
men,innerwear,boxers,multi,summer,casual
men,topwear,tshirts,blue,fall,casual
girls,topwear,tops,pink,fall,casual
women,topwear,tshirts,grey,fall,casual
women,bottomwear,jeans,black,fall,casual
women,topwear,kurtas,magenta,fall,ethnic
women,topwear,dupatta,orange,fall,ethnic
men,bottomwear,track pants,navy blue,fall,sports
girls,bottomwear,capris,black,summer,casual
women,innerwear,bra,white,summer,casual
men,bottomwear,shorts,black,fall,casual
men,bottomwear,trousers,grey,summer,formal
women,topwear,tshirts,black,summer,casual
women,topwear,kurtas,sea green,summer,ethnic
women,topwear,tops,purple,fall,casual
women,bottomwear,jeans,navy blue,summer,casual
men,topwear,tshirts,white,summer,casual
girls,topwear,tops,white,fall,casual
women,topwear,tops,black,summer,casual
women,topwear,tops,pink,summer,casual
women,loungewear and nightwear,bath robe,pink,winter,casual
women,topwear,kurtas,navy blue,summer,ethnic
men,topwear,shirts,purple,fall,casual
women,topwear,tunics,white,summer,casual
women,topwear,jackets,cream,summer,casual
women,topwear,kurtas,peach,summer,ethnic
women,topwear,tops,purple,summer,casual
men,topwear,tshirts,yellow,summer,casual
women,innerwear,briefs,brown,summer,casual
women,topwear,tops,white,fall,casual
girls,topwear,tops,pink,summer,casual
men,topwear,tshirts,olive,fall,casual
women,topwear,tops,yellow,summer,casual
men,innerwear,trunk,charcoal,summer,casual
boys,topwear,shirts,blue,summer,casual
men,topwear,tshirts,white,fall,sports
women,innerwear,bra,purple,summer,casual
