gender,subCategory,articleType,baseColour,usage,style,weather_condition,trend_score
2,7,38,22,0,0,1,0.3
2,1,16,2,0,0,2,0.3
2,1,50,1,0,0,1,0.3
2,7,54,11,0,0,2,0.3
2,7,38,10,1,1,2,0.3
4,7,38,29,0,0,2,0.3
2,7,38,29,2,2,1,0.3
1,7,49,40,0,0,2,0.3
4,3,6,0,0,0,2,0.3
2,7,46,11,5,4,1,0.3
2,7,54,22,5,4,1,0.3
2,7,38,22,2,2,2,0.3
0,7,54,10,0,0,2,0.3
2,7,38,3,0,0,2,0.3
4,7,20,10,1,1,1,0.3
4,7,54,28,0,0,2,0.3
4,7,20,0,1,1,2,0.3
2,7,56,11,0,0,1,0.3
2,1,39,1,5,4,2,0.3
2,3,7,17,0,0,0,0.3
2,7,38,30,2,2,1,0.3
4,7,20,3,1,1,2,0.3
2,3,7,2,0,0,2,0.3
2,7,54,1,0,0,2,0.3
4,7,54,29,0,0,2,0.3
2,7,38,40,0,0,2,0.3
2,7,54,30,0,0,1,0.3
4,5,36,11,1,1,1,0.3
2,7,54,1,0,0,1,0.3
2,1,39,2,0,0,2,0.3
2,7,38,28,0,0,1,0.3
4,7,54,1,5,4,1,0.3
2,7,46,2,0,0,1,0.3
4,7,49,10,0,0,2,0.3
2,7,54,28,0,0,2,0.3
2,3,14,11,0,0,2,0.3
4,7,49,24,0,0,2,0.3
4,2,12,2,0,0,2,0.3
2,3,7,30,0,0,2,0.3
4,4,28,40,0,0,2,0.3
4,1,41,2,5,4,2,0.3
1,7,49,1,0,0,2,0.3
2,7,54,40,0,0,1,0.3
2,7,38,41,0,0,1,0.3
2,7,38,40,0,0,1,0.3
2,3,7,40,0,0,2,0.3
4,7,3,5,2,2,2,0.3
4,1,16,1,0,0,2,0.3
4,7,20,10,1,1,2,0.3
0,7,54,2,0,0,1,0.3
2,7,38,10,0,0,1,0.3
2,7,54,1,5,4,1,0.3
4,0,19,1,1,1,2,0.3
2,7,38,30,0,0,1,0.3
4,7,40,28,0,0,2,0.3
2,3,7,11,0,0,2,0.3
2,7,38,1,0,0,2,0.3
4,3,6,1,0,0,2,0.3
2,7,54,41,0,0,1,0.3
2,3,14,40,0,0,2,0.3
2,7,54,29,0,0,2,0.3
2,7,54,22,0,0,1,0.3
4,5,36,10,1,1,1,0.3
2,1,52,1,2,2,1,0.3
2,7,54,22,0,0,2,0.3
4,7,46,1,0,0,1,0.3
2,7,38,2,0,0,1,0.3
4,7,49,2,0,0,2,0.3
2,7,38,1,0,0,1,0.3
4,1,52,2,0,0,2,0.3
1,7,49,2,0,0,2,0.3
4,7,20,30,1,1,2,0.3
4,7,49,0,0,0,1,0.3
4,1,39,28,5,4,1,0.3
4,3,8,17,0,0,0,0.3
2,3,5,19,0,0,2,0.3
2,7,54,2,0,0,1,0.3
1,7,49,28,0,0,1,0.3
4,7,54,11,0,0,1,0.3
4,1,16,1,0,0,1,0.3
4,7,20,16,1,1,1,0.3
4,7,13,26,1,1,1,0.3
2,1,50,22,5,4,1,0.3
1,1,9,1,0,0,2,0.3
4,3,6,40,0,0,2,0.3
2,1,39,1,0,0,1,0.3
2,1,52,11,2,2,2,0.3
4,7,54,1,0,0,2,0.3
4,7,20,33,1,1,2,0.3
4,7,49,29,0,0,1,0.3
4,1,16,22,0,0,2,0.3
2,7,54,40,0,0,2,0.3
1,7,49,40,0,0,1,0.3
4,7,49,1,0,0,2,0.3
4,7,49,28,0,0,2,0.3
4,4,1,28,0,0,0,0.3
4,7,20,22,1,1,2,0.3
2,7,38,29,0,0,1,0.3
4,7,55,40,0,0,2,0.3
4,7,15,7,0,0,2,0.3
4,7,20,27,1,1,2,0.3
4,7,49,29,0,0,2,0.3
2,7,54,41,0,0,2,0.3
4,3,7,3,0,0,2,0.3
4,7,49,40,0,0,1,0.3
1,7,49,28,0,0,2,0.3
2,7,54,25,0,0,1,0.3
4,7,49,41,0,0,2,0.3
2,3,53,5,0,0,2,0.3
0,7,38,2,0,0,2,0.3
2,7,54,40,5,4,1,0.3
4,3,6,29,0,0,2,0.3
4,4,24,2,0,0,0,0.3
4,7,49,16,0,0,2,0.3
4,7,49,25,0,0,2,0.3
4,5,36,0,1,1,1,0.3
4,2,12,40,0,0,2,0.3
2,7,54,2,0,0,2,0.3
4,7,20,7,1,1,2,0.3
4,7,49,40,0,0,2,0.3
2,7,54,2,5,4,2,0.3
2,1,50,22,0,0,1,0.3
2,7,54,30,0,0,2,0.3
4,7,55,30,0,0,2,0.3
2,1,16,2,0,0,1,0.3
2,7,45,2,0,0,2,0.3
4,0,19,29,1,1,1,0.3
4,1,52,3,0,0,2,0.3
2,7,38,4,0,0,1,0.3
2,7,54,3,0,0,1,0.3
2,3,7,12,0,0,2,0.3
4,1,16,2,0,0,2,0.3
2,1,52,3,0,0,1,0.3
0,7,54,41,0,0,1,0.3
1,7,49,30,0,0,2,0.3
4,4,28,28,0,0,2,0.3
4,1,50,1,0,0,2,0.3
2,7,38,11,2,2,2,0.3
4,4,24,1,0,0,0,0.3
2,7,38,2,0,0,2,0.3
4,1,41,11,0,0,2,0.3
2,7,54,40,5,4,2,0.3
4,7,20,41,1,1,2,0.3
4,7,49,11,0,0,2,0.3
4,5,36,32,1,1,1,0.3
2,3,7,1,0,0,2,0.3
1,1,9,25,0,0,2,0.3
2,7,54,11,0,0,1,0.3
2,7,54,17,0,0,2,0.3
2,1,51,1,5,4,1,0.3
4,7,54,30,0,0,2,0.3
4,7,20,1,1,1,2,0.3
2,1,50,2,0,0,1,0.3
4,1,9,1,5,4,2,0.3
3,1,47,2,5,4,1,0.3
4,1,39,30,0,0,2,0.3
2,7,54,1,5,4,2,0.3
4,7,38,2,0,0,2,0.3
2,7,38,10,0,0,2,0.3
2,1,52,0,0,0,2,0.3
0,7,54,30,0,0,2,0.3
2,1,16,1,0,0,2,0.3
2,7,54,2,0,0,1,0.3
4,7,49,28,0,0,1,0.3
2,7,38,2,1,1,2,0.3
4,3,6,31,0,0,2,0.3
4,7,49,22,0,0,2,0.3
4,3,7,30,0,0,2,0.3
2,7,54,22,0,0,0,0.3
4,7,20,28,1,1,1,0.3
4,7,49,11,0,0,1,0.3
4,7,54,28,5,4,2,0.3
2,1,50,5,0,0,0,0.3
2,7,38,17,2,2,1,0.3
2,7,46,1,0,0,2,0.3
2,3,14,30,0,0,2,0.3
4,1,39,12,0,0,0,0.3
4,7,54,1,0,0,1,0.3
4,7,55,1,0,0,2,0.3
2,3,14,17,0,0,2,0.3
4,7,20,24,1,1,2,0.3
2,7,54,29,0,0,1,0.3
2,7,54,2,5,4,1,0.3
4,7,20,19,1,1,2,0.3
1,2,12,1,0,0,2,0.3
4,3,6,40,0,0,0,0.3
4,7,20,2,1,1,2,0.3
4,1,39,3,0,0,2,0.3
4,7,38,10,0,0,2,0.3
4,7,55,28,0,0,2,0.3
4,7,55,29,0,0,1,0.3
4,7,20,17,1,1,1,0.3
2,7,54,26,0,0,2,0.3
4,7,54,10,0,0,2,0.3
1,1,9,28,0,0,2,0.3
2,1,50,11,5,4,1,0.3
4,4,29,15,0,0,2,0.3
4,7,38,38,0,0,2,0.3
4,2,12,11,0,0,1,0.3
2,7,54,10,0,0,2,0.3
4,1,52,26,0,0,2,0.3
4,4,0,28,0,0,0,0.3
4,7,38,11,0,0,1,0.3
4,7,54,26,0,0,1,0.3
1,1,39,28,0,0,2,0.3
4,3,6,27,0,0,2,0.3
4,7,20,3,1,1,1,0.3
4,1,22,29,1,1,1,0.3
2,1,50,2,5,4,1,0.3
4,7,20,2,1,1,1,0.3
2,1,52,22,2,2,0,0.3
2,7,38,17,0,0,1,0.3
2,3,7,22,0,0,2,0.3
2,7,46,22,0,0,1,0.3
0,7,38,30,0,0,2,0.3
4,7,54,32,0,0,2,0.3
2,1,52,5,2,2,1,0.3
4,3,6,3,0,0,2,0.3
2,3,14,0,0,0,2,0.3
2,7,54,30,5,4,2,0.3
4,7,38,2,2,2,2,0.3
4,7,20,28,1,1,2,0.3
0,7,54,40,0,0,2,0.3
2,7,38,0,0,0,1,0.3
2,7,54,11,5,4,1,0.3
4,7,15,2,0,0,2,0.3
4,7,38,22,0,0,2,0.3
2,7,54,3,0,0,2,0.3
2,7,15,10,0,0,1,0.3
2,7,45,11,0,0,1,0.3
2,7,54,30,0,0,0,0.3
2,7,54,10,0,0,1,0.3
4,7,20,13,1,1,2,0.3
4,3,8,30,0,0,0,0.3
1,7,54,41,0,0,2,0.3
4,7,21,19,1,1,2,0.3
4,2,12,1,0,0,2,0.3
4,7,54,38,0,0,2,0.3
2,7,38,7,2,2,1,0.3
2,7,38,2,2,2,1,0.3
2,7,54,7,0,0,2,0.3
4,5,36,33,1,1,1,0.3
4,7,49,2,0,0,1,0.3
2,7,38,40,2,2,1,0.3
